iter	Passed	Remaining
376	461	762
377	462	760
378	463	759
379	464	757
380	465	755
381	466	754
382	467	752
383	468	750
384	469	750
385	471	749
386	472	747
387	473	746
388	474	744
389	475	743
390	476	741
391	477	740
392	478	738
393	480	738
394	481	737
395	482	735
396	483	734
397	484	732
398	485	731
399	486	730
400	487	728
401	488	727
402	490	726
403	492	725
404	493	724
405	494	723
406	495	721
407	496	720
408	497	718
409	498	717
410	499	715
411	500	713
412	501	712
413	502	710
414	503	709
415	504	707
416	505	706
417	506	704
418	507	703
419	508	702
420	509	701
421	510	699
422	511	698
423	513	696
424	514	695
425	515	695
426	517	694
427	519	693
428	520	692
429	521	691
430	523	691
431	525	690
432	526	689
433	527	687
434	528	686
435	529	684
436	530	683
437	531	681
438	532	680
439	533	678
440	534	677
441	535	675
442	536	674
443	537	672
444	538	671
445	539	669
446	539	667
447	540	666
448	541	664
449	542	663
450	543	662
451	544	660
452	545	659
453	547	657
454	548	656
455	549	655
456	550	654
457	551	652
458	552	651
459	553	649
460	554	648
461	555	646
462	556	645
463	557	643
464	558	642
465	559	640
466	560	639
467	561	637
468	562	636
469	563	635
470	564	633
471	565	633
472	567	631
473	568	630
474	569	629
475	570	628
476	571	626
477	572	625
478	573	623
479	574	622
480	575	621
481	576	619
482	577	618
483	578	616
484	579	615
485	580	613
486	581	612
487	582	611
488	583	609
489	584	608
490	585	606
491	586	605
492	588	605
493	590	604
494	591	603
495	592	601
496	593	600
497	594	599
498	595	597
499	596	596
500	597	594
501	598	593
502	599	592
503	600	590
504	601	589
505	602	587
506	603	586
507	604	584
508	604	583
509	605	582
510	606	580
511	607	579
512	608	578
513	610	576
514	611	575
515	612	574
516	613	572
517	614	571
518	615	570
519	616	569
520	617	568
521	618	566
522	620	565
523	621	564
524	623	563
525	624	562
526	625	561
527	626	559
528	627	558
529	628	557
530	629	556
531	630	554
532	632	553
533	633	552
534	634	551
535	635	550
536	637	549
537	638	548
538	639	547
539	640	545
540	641	544
541	642	543
542	643	541
543	645	540
544	646	539
545	647	538
546	648	536
547	649	535
548	650	534
549	651	532
550	652	531
551	653	530
552	654	528
553	655	527
554	656	526
555	657	524
556	658	523
557	659	522
558	660	521
559	661	519
560	663	518
561	664	518
562	665	516
563	667	515
564	668	514
565	669	513
566	670	512
567	671	511
568	672	509
569	673	508
570	674	507
571	676	505
572	677	504
573	678	503
574	679	501
575	680	500
576	681	499
577	682	498
578	683	496
579	684	495
580	685	494
581	686	492
582	687	491
583	688	490
584	689	488
585	690	487
586	691	486
587	692	485
588	693	484
589	694	482
590	696	482
591	697	480
592	699	479
593	700	478
594	701	477
595	702	476
596	703	474
597	704	473
598	705	472
599	706	471
600	707	469
601	708	468
602	709	467
603	710	465
604	711	464
605	712	463
606	713	462
607	715	461
608	716	459
609	717	458
610	718	457
611	719	456
612	720	454
613	721	453
614	722	452
615	723	451
616	724	450
617	725	448
618	727	447
619	728	446
620	729	444
621	730	443
622	731	442
623	732	441
624	733	439
625	733	438
626	734	437
627	735	435
628	736	434
629	737	433
630	738	432
631	739	430
632	740	429
633	741	428
634	742	426
635	743	425
636	744	424
637	745	423
638	746	421
639	747	420
640	748	419
641	749	418
642	750	416
643	751	415
644	752	414
645	753	412
646	754	411
647	755	410
648	756	409
649	757	407
650	758	406
651	759	405
652	760	404
653	763	403
654	764	402
655	765	401
656	766	400
657	767	398
658	768	397
659	769	396
660	770	394
661	771	393
662	772	392
663	772	391
664	773	389
665	774	388
666	775	387
667	776	386
668	777	384
669	778	383
670	780	382
671	781	381
672	782	380
673	783	378
674	784	377
675	785	376
676	786	375
677	787	373
678	788	372
679	789	371
680	790	370
681	791	369
682	792	367
683	793	366
684	794	365
685	795	364
686	796	362
687	797	361
688	798	360
689	799	359
690	800	357
691	801	356
692	802	355
693	803	354
694	804	352
695	805	351
696	806	350
697	807	349
698	808	348
699	809	346
700	810	345
701	810	344
702	811	343
703	812	341
704	813	340
705	814	339
706	815	338
707	816	336
708	817	335
709	818	334
710	819	333
711	820	331
712	821	330
713	822	329
714	823	328
715	824	326
716	825	325
717	826	324
718	827	323
719	828	322
720	829	320
721	830	319
722	831	318
723	832	317
724	833	316
725	834	314
726	835	313
727	836	312
728	837	311
729	837	309
730	838	308
731	839	307
732	840	306
733	841	305
734	842	303
735	843	302
736	844	301
737	845	300
738	846	299
739	847	297
740	848	296
741	849	295
742	850	294
743	851	293
744	852	291
745	853	290
746	854	289
747	855	288
748	856	286
749	857	285
750	858	284
751	859	283
752	860	282
753	861	280
754	862	279
755	863	278
756	864	277
757	865	276
758	866	275
759	867	273
760	868	272
761	869	271
762	870	270
763	871	269
764	872	267
765	873	266
766	874	265
767	875	264
768	876	263
769	877	262
770	878	260
771	879	259
772	880	258
773	881	257
774	882	256
775	883	254
776	884	253
777	885	252
778	886	251
779	887	250
780	888	249
781	889	247
782	890	246
783	891	245
784	892	244
785	893	243
786	894	242
787	895	241
788	896	239
789	897	238
790	898	237
791	899	236
792	900	235
793	902	234
794	903	233
795	904	231
796	906	230
797	907	229
798	908	228
799	909	227
800	909	226
801	910	224
802	911	223
803	912	222
804	913	221
805	914	220
806	916	219
807	917	218
808	919	217
809	920	215
810	922	214
811	923	213
812	924	212
813	925	211
814	926	210
815	927	209
816	928	208
817	929	206
818	930	205
819	931	204
820	932	203
821	933	202
822	934	200
823	935	199
824	936	198
825	937	197
826	938	196
827	939	195
828	941	194
829	942	193
830	943	191
831	944	190
832	946	189
833	947	188
834	949	187
835	950	186
836	951	185
837	952	184
838	953	182
839	954	181
840	955	180
841	956	179
842	957	178
843	958	177
844	959	176
845	961	174
846	962	173
847	963	172
848	964	171
849	965	170
850	967	169
851	968	168
852	969	167
853	970	165
854	971	164
855	972	163
856	973	162
857	974	161
858	975	160
859	976	158
860	977	157
861	978	156
862	979	155
863	980	154
864	981	153
865	982	151
866	983	150
867	984	149
868	985	148
869	986	147
870	987	146
871	988	145
872	989	143
873	990	142
874	991	141
875	992	140
876	994	139
877	995	138
878	996	137
879	997	136
880	998	134
881	999	133
882	1000	132
883	1003	131
884	1006	130
885	1008	129
886	1009	128
887	1012	127
888	1016	126
889	1019	126
890	1022	125
891	1025	124
892	1028	123
893	1030	122
894	1034	121
895	1037	120
896	1042	119
897	1044	118
898	1045	117
899	1046	116
900	1047	115
901	1052	114
902	1054	113
903	1055	112
904	1057	110
905	1058	109
906	1059	108
907	1060	107
908	1062	106
909	1063	105
910	1064	103
911	1065	102
912	1066	101
913	1067	100
914	1068	99
915	1069	98
916	1070	96
917	1071	95
918	1072	94
919	1073	93
920	1074	92
921	1075	91
922	1076	89
923	1077	88
924	1078	87
925	1079	86
926	1080	85
927	1081	83
928	1082	82
929	1083	81
930	1084	80
931	1085	79
932	1086	78
933	1088	76
934	1089	75
935	1090	74
936	1092	73
937	1093	72
938	1094	71
939	1095	69
940	1096	68
941	1097	67
942	1098	66
943	1099	65
944	1100	64
945	1101	62
946	1102	61
947	1103	60
948	1104	59
949	1105	58
950	1106	57
951	1107	55
952	1108	54
953	1109	53
954	1111	52
955	1112	51
956	1114	50
957	1115	48
958	1116	47
959	1117	46
960	1118	45
961	1119	44
962	1120	43
963	1121	41
964	1122	40
965	1124	39
966	1125	38
967	1126	37
968	1126	36
969	1127	34
970	1129	33
971	1130	32
972	1131	31
973	1132	30
974	1133	29
975	1134	27
976	1135	26
977	1136	25
978	1137	24
979	1138	23
980	1139	22
981	1140	20
982	1141	19
983	1142	18
984	1143	17
985	1144	16
986	1145	15
987	1146	13
988	1147	12
989	1148	11
990	1149	10
991	1151	9
992	1152	8
993	1154	6
994	1156	5
995	1157	4
996	1159	3
997	1160	2
998	1161	1
999	1162	0
