iter	RMSE
744	244851.5049
745	244798.424
746	244712.5196
747	244605.1554
748	244519.4329
749	244478.559
750	244434.259
751	244362.5435
752	244331.9566
753	244228.376
754	244114.8613
755	244024.0381
756	243904.6349
757	243663.29
758	243624.2782
759	243543.6062
760	243517.1329
761	243409.0369
762	243341.4976
763	243227.9903
764	243143.9644
765	242902.5174
766	242637.693
767	242571.7413
768	242546.9283
769	242492.0823
770	242355.4727
771	242247.9938
772	242216.5575
773	242192.0924
774	242113.9508
775	242091.7005
776	242029.3987
777	241978.8807
778	241897.4381
779	241805.9395
780	241724.9979
781	241475.6295
782	241389.548
783	241288.2026
784	241217.1109
785	241151.3473
786	241076.9794
787	240979.6401
788	240869.5728
789	240792.4778
790	240780.7171
791	240771.9334
792	240673.628
793	240603.1763
794	240520.0214
795	240427.2624
796	240419.7764
797	240320.5444
798	240236.7933
799	240185.0708
800	240179.8738
801	240131.6632
802	240081.8226
803	239987.8767
804	239958.4062
805	239905.4235
806	239856.0709
807	239760.6783
808	239684.3755
809	239673.4801
810	239591.9631
811	239588.5937
812	239566.3967
813	239466.9812
814	239379.1829
815	239320.8388
816	239290.9133
817	239158.803
818	239035.1207
819	238907.2441
820	238877.0703
821	238876.0689
822	238853.4527
823	238778.6339
824	238777.6234
825	238702.9681
826	238637.8058
827	238507.7454
828	238463.0241
829	238461.9417
830	238395.9228
831	238380.4859
832	238369.9856
833	238286.6766
834	238195.285
835	238134.23
836	238050.5123
837	237952.0717
838	237848.894
839	237769.7265
840	237683.0736
841	237525.5319
842	237453.5134
843	237362.0502
844	237300.709
845	237254.72
846	237177.2627
847	237112.1778
848	237000.1486
849	236847.9392
850	236842.0136
851	236724.6905
852	236666.6769
853	236593.0152
854	236530.0401
855	236443.6434
856	236404.6164
857	236318.5157
858	236241.248
859	236208.4907
860	236176.8542
861	236097.9091
862	236009.4166
863	235928.5832
864	235829.0801
865	235777.2086
866	235700.8777
867	235636.3718
868	235559.2814
869	235472.7536
870	235432.9058
871	235318.5237
872	235220.8938
873	235117.8719
874	235031.023
875	234978.5998
876	234898.8123
877	234854.3592
878	234740.2952
879	234695.0931
880	234615.5207
881	234550.9038
882	234486.6734
883	234459.0391
884	234225.346
885	234094.1417
886	234006.728
887	233945.7362
888	233880.9733
889	233644.5375
890	233633.7841
891	233544.2873
892	233475.5372
893	233454.4961
894	233379.14
895	233286.5762
896	233221.39
897	233188.4418
898	233093.5771
899	233045.6828
900	232942.0149
901	232710.3535
902	232485.7034
903	232369.8594
904	232273.7269
905	232206.754
906	232108.6292
907	232063.5688
908	232021.126
909	232011.834
910	231952.8006
911	231834.4361
912	231786.2233
913	231680.7929
914	231591.4262
915	231370.7245
916	231304.9293
917	231264.9705
918	231055.2298
919	230955.3189
920	230880.8025
921	230758.4062
922	230546.9485
923	230507.8375
924	230386.0652
925	230319.6071
926	230243.6369
927	230242.52
928	230168.0771
929	230079.0594
930	229974.557
931	229946.2964
932	229943.0443
933	229873.9757
934	229789.8298
935	229783.8668
936	229715.1689
937	229637.8513
938	229596.0139
939	229581.487
940	229580.7641
941	229510.5267
942	229425.5885
943	229287.3678
944	229204.438
945	229134.9524
946	229018.0795
947	228937.9725
948	228831.096
949	228754.8772
950	228686.2317
951	228618.3761
952	228552.4267
953	228490.4912
954	228341.7909
955	228264.0474
956	228183.3104
957	228154.5658
958	228153.2178
959	228078.8797
960	228039.0788
961	227930.0492
962	227869.5385
963	227749.6771
964	227638.4215
965	227557.1895
966	227450.2083
967	227368.9425
968	227266.0471
969	227127.2899
970	227022.1824
971	226906.9311
972	226849.7017
973	226758.5053
974	226705.0951
975	226635.3276
976	226578.5569
977	226486.6315
978	226369.6562
979	226363.3784
980	226337.1968
981	226250.0548
982	226174.5933
983	226165.7582
984	226090.8935
985	226070.1065
986	225999.745
987	225786.7049
988	225715.0489
989	225621.1878
990	225549.1279
991	225454.5495
992	225360.6225
993	225280.0089
994	225111.5441
995	225045.9169
996	224983.1099
997	224871.1619
998	224798.1225
999	224711.692
